datetime,open,high,low,close,volume
2025/04/25 01:00,19875,19912,19856,19863,2885
2025/04/25 02:00,19862,19890,19826,19875,2582
2025/04/25 03:00,19876,19910,19751,19788,6180
2025/04/25 04:00,19791,19845,19783,19815,3424
2025/04/25 05:00,19812,19873,19806,19837,3359
2025/04/25 06:00,19836,19905,19789,19817,7395
2025/04/25 07:00,19819,19892,19791,19857,8024
2025/04/25 08:00,19856,19888,19840,19872,3511
2025/04/25 09:00,19871,19984,19859,19976,4915
2025/04/25 10:00,19976,20055,19871,19913,8164
2025/04/25 11:00,19913,20017,19903,19980,3401
2025/04/25 12:00,19979,20003,19941,19999,1959
2025/04/25 13:00,20001,20077,19997,20052,1752
2025/04/27 17:45,19965,20045,19954,20028,17244
2025/04/27 18:45,20027,20053,19955,19970,10464
2025/04/27 19:45,19972,19987,19933,19955,5734
2025/04/27 20:45,19953,20014,19945,20012,4559
2025/04/27 21:45,20011,20014,19959,19965,6351
2025/04/28 00:00,20000,20023,19972,19976,3290
2025/04/28 01:00,19975,20013,19960,20012,1605
2025/04/28 02:00,20012,20044,20002,20022,1968
2025/04/28 03:00,20022,20027,19994,20005,1313
2025/04/28 04:00,20006,20034,20001,20025,1035
2025/04/28 05:00,20026,20048,20008,20042,1522
2025/04/28 06:00,20041,20065,19951,19961,8287
2025/04/28 07:00,19963,20012,19939,19950,6832
2025/04/28 08:00,19951,19971,19824,19880,9391
2025/04/28 09:00,19880,19900,19842,19865,3501
2025/04/28 10:00,19863,19897,19832,19892,2157
2025/04/28 11:00,19893,19946,19886,19939,1807
2025/04/28 12:00,19940,20007,19936,19996,2074
2025/04/28 13:00,19993,19993,19968,19970,677
2025/04/28 17:45,19980,20050,19963,19976,14092
2025/04/28 18:45,19978,20207,19974,20155,19272
2025/04/28 19:45,20155,20160,20095,20121,8810
2025/04/28 20:45,20122,20190,20120,20172,6751
2025/04/28 21:45,20172,20186,20150,20155,8848
2025/04/28 22:45,20154,20154,20154,20154,1
2025/04/29 00:00,20166,20186,20133,20169,2840
2025/04/29 01:00,20170,20171,20131,20156,2394
2025/04/29 02:00,20157,20162,20135,20150,1118
2025/04/29 03:00,20150,20154,20090,20111,2576
2025/04/29 04:00,20111,20143,20109,20134,1630
2025/04/29 05:00,20133,20156,20109,20113,2568
2025/04/29 06:00,20112,20143,20062,20120,7210
2025/04/29 07:00,20121,20196,20103,20182,7447
2025/04/29 08:00,20182,20189,20120,20138,3798
2025/04/29 09:00,20139,20174,20096,20105,2471
2025/04/29 10:00,20110,20225,20095,20215,3750
2025/04/29 11:00,20216,20230,20190,20193,1877
2025/04/29 12:00,20194,20222,20180,20184,2027
2025/04/29 13:00,20188,20192,20133,20154,1666
2025/04/29 17:45,20091,20195,20065,20145,16113
2025/04/29 18:45,20145,20268,20126,20195,14662
2025/04/29 19:45,20196,20201,20092,20111,10918
2025/04/29 20:45,20112,20146,20089,20134,7194
2025/04/29 21:45,20135,20170,20111,20149,9222
2025/04/30 00:00,20183,20214,20174,20208,3462
2025/04/30 01:00,20208,20247,20186,20219,3457
2025/04/30 02:00,20220,20252,20220,20241,1434
2025/04/30 03:00,20242,20255,20203,20222,2339
2025/04/30 04:00,20223,20226,20186,20204,1650
2025/04/30 05:00,20205,20206,20005,20022,9069
2025/04/30 06:00,20024,20038,19921,19941,12127
2025/04/30 07:00,19938,20067,19925,20045,9801
2025/04/30 08:00,20051,20110,20048,20089,6430
2025/04/30 09:00,20088,20123,20044,20078,3963
2025/04/30 10:00,20079,20163,20021,20148,4438
2025/04/30 11:00,20146,20219,20129,20165,4860
2025/04/30 12:00,20167,20280,20143,20236,3170
2025/04/30 13:00,20234,20438,20200,20430,5230
2025/05/01 17:45,20488,20582,20469,20503,23660
2025/05/01 18:45,20505,20647,20489,20639,14190
2025/05/01 19:45,20639,20683,20616,20670,6542
2025/05/01 20:45,20669,20688,20645,20652,5613
2025/05/01 21:45,20653,20710,20650,20677,11720
2025/05/02 00:00,20652,20695,20650,20659,3606
2025/05/02 01:00,20659,20690,20642,20658,2429
2025/05/02 02:00,20658,20683,20655,20657,1578
2025/05/02 03:00,20658,20676,20624,20632,2042
2025/05/02 04:00,20632,20667,20626,20660,1694
2025/05/02 05:00,20660,20868,20656,20858,7136
2025/05/02 06:00,20858,20887,20701,20759,11086
2025/05/02 07:00,20757,20826,20743,20824,6245
2025/05/02 08:00,20824,20848,20775,20826,3683
2025/05/02 09:00,20826,20900,20820,20857,5462
2025/05/02 10:00,20857,20863,20780,20797,3123
2025/05/02 11:00,20799,20846,20787,20798,1857
2025/05/02 12:00,20796,20852,20786,20824,1661
2025/05/02 13:00,20823,20844,20814,20840,979
2025/05/04 17:45,20757,20796,20406,20414,33693
2025/05/04 18:45,20416,20420,20232,20245,22235
2025/05/04 19:45,20245,20430,20206,20401,17108
2025/05/04 20:45,20400,20485,20388,20473,9984
2025/05/04 21:45,20472,20485,20396,20404,13389
2025/05/05 00:00,20424,20432,20354,20405,4200
2025/05/05 01:00,20405,20440,20277,20312,5501
2025/05/05 02:00,20313,20335,20266,20280,4972
2025/05/05 03:00,20279,20319,20263,20307,2393
2025/05/05 04:00,20310,20317,20258,20262,1873
2025/05/05 05:00,20267,20348,20256,20344,2644
2025/05/05 06:00,20342,20343,20223,20295,8974
2025/05/05 07:00,20297,20375,20244,20312,9213
2025/05/05 08:00,20310,20316,20257,20282,3355
2025/05/05 09:00,20279,20305,20263,20289,1796
2025/05/05 10:00,20288,20289,20245,20278,1463
2025/05/05 11:00,20277,20304,20277,20278,789
2025/05/05 12:00,20278,20286,20169,20184,1967
2025/05/05 13:00,20186,20223,20139,20198,1992
2025/05/05 17:45,20150,20413,20150,20325,27561
2025/05/05 18:45,20327,20448,20292,20424,13067
2025/05/05 19:45,20421,20483,20395,20462,9220
2025/05/05 20:45,20462,20468,20407,20409,5513
2025/05/05 21:45,20406,20423,20324,20338,13985
2025/05/05 22:45,20337,20337,20337,20337,1
2025/05/06 00:00,20333,20374,20296,20311,3474
2025/05/06 01:00,20311,20320,20259,20283,3272
2025/05/06 02:00,20282,20282,20205,20247,3628
2025/05/06 03:00,20248,20288,20242,20279,2344
2025/05/06 04:00,20280,20303,20226,20255,3144
2025/05/06 05:00,20254,20270,20216,20256,2490
2025/05/06 06:00,20257,20260,20158,20182,7805
2025/05/06 07:00,20183,20346,20173,20323,8939
2025/05/06 08:00,20320,20364,20300,20313,5052
2025/05/06 09:00,20310,20435,20278,20279,8374
2025/05/06 10:00,20282,20337,20280,20288,2531
2025/05/06 11:00,20290,20360,20286,20355,1905
2025/05/06 12:00,20350,20356,20289,20290,1133
2025/05/06 13:00,20291,20293,20228,20247,2342
2025/05/06 17:45,20440,20560,20265,20310,32388
2025/05/06 18:45,20310,20403,20293,20325,14089
2025/05/06 19:45,20327,20385,20296,20365,7691
2025/05/06 20:45,20366,20410,20331,20350,5679
2025/05/06 21:45,20349,20440,20340,20381,12789
2025/05/07 00:00,20388,20406,20363,20390,2683
2025/05/07 01:00,20392,20423,20352,20420,2739
2025/05/07 02:00,20420,20450,20414,20420,3102
2025/05/07 03:00,20422,20471,20408,20470,2490
2025/05/07 04:00,20470,20498,20467,20479,2472
2025/05/07 05:00,20481,20502,20427,20431,3674
2025/05/07 06:00,20432,20438,20374,20432,7636
2025/05/07 07:00,20428,20464,20342,20352,6156
2025/05/07 08:00,20353,20392,20323,20379,4826
2025/05/07 09:00,20378,20401,20342,20395,2541
2025/05/07 10:00,20393,20404,20304,20331,3090
2025/05/07 11:00,20331,20399,20250,20383,6882
2025/05/07 12:00,20382,20615,20303,20496,12037
2025/05/07 13:00,20495,20532,20481,20512,2086
2025/05/07 17:45,20475,20653,20452,20580,23442
2025/05/07 18:45,20578,20604,20498,20590,9506
2025/05/07 19:45,20588,20695,20577,20647,10582
2025/05/07 20:45,20646,20670,20630,20657,5165
2025/05/07 21:45,20655,20678,20530,20581,14371
2025/05/07 22:45,20575,20575,20575,20575,1
2025/05/08 00:00,20561,20585,20543,20556,2849
2025/05/08 01:00,20554,20632,20540,20627,2859
2025/05/08 02:00,20627,20634,20589,20622,2047
2025/05/08 03:00,20622,20647,20608,20635,1662
2025/05/08 04:00,20634,20638,20588,20604,2340
2025/05/08 05:00,20604,20629,20560,20596,3311
2025/05/08 06:00,20597,20611,20515,20572,6692
2025/05/08 07:00,20571,20586,20504,20519,6756
2025/05/08 08:00,20517,20797,20508,20766,14997
2025/05/08 09:00,20765,20822,20762,20815,4416
2025/05/08 10:00,20816,20819,20711,20720,2651
2025/05/08 11:00,20720,20777,20715,20747,1480
2025/05/08 12:00,20745,20787,20662,20673,2693
2025/05/08 13:00,20674,20687,20663,20680,1285
2025/05/08 17:45,20649,20718,20596,20644,21171
2025/05/08 18:45,20642,20742,20620,20740,10918
2025/05/08 19:45,20738,20782,20700,20763,10258
2025/05/08 20:45,20764,20845,20764,20835,8985
2025/05/08 21:45,20834,20872,20808,20848,16034
2025/05/09 00:00,20852,20883,20819,20828,4014
2025/05/09 01:00,20828,20844,20792,20799,2652
2025/05/09 02:00,20798,20829,20796,20825,1383
2025/05/09 03:00,20824,20866,20819,20866,1412
2025/05/09 04:00,20865,20875,20795,20818,3947
2025/05/09 05:00,20815,20861,20809,20846,1692
2025/05/09 06:00,20847,20872,20806,20834,4352
2025/05/09 07:00,20832,20840,20728,20789,8026
2025/05/09 08:00,20788,20815,20774,20805,3792
2025/05/09 09:00,20807,20807,20741,20754,3034
2025/05/09 10:00,20754,20813,20745,20809,2727
2025/05/09 11:00,20806,20809,20770,20783,985
2025/05/09 12:00,20784,20805,20760,20786,1143
2025/05/09 13:00,20788,20797,20784,20794,672
2025/05/11 17:45,21015,21127,20978,21056,24839
2025/05/11 18:45,21055,21134,21055,21104,10328
2025/05/11 19:45,21103,21116,21002,21019,8847
2025/05/11 20:45,21019,21072,21017,21049,4556
2025/05/11 21:45,21046,21080,21031,21066,9322
2025/05/12 00:00,21068,21447,21068,21369,16219
2025/05/12 01:00,21369,21417,21333,21383,4926
2025/05/12 02:00,21383,21421,21381,21405,2513
2025/05/12 03:00,21406,21436,21376,21396,2748
2025/05/12 04:00,21398,21406,21363,21373,2334
2025/05/12 05:00,21376,21416,21374,21390,1915
2025/05/12 06:00,21387,21434,21314,21329,8594
2025/05/12 07:00,21329,21398,21296,21359,8322
2025/05/12 08:00,21359,21408,21349,21386,4204
2025/05/12 09:00,21388,21480,21381,21478,3632
2025/05/12 10:00,21477,21505,21461,21464,2849
2025/05/12 11:00,21464,21486,21450,21452,998
2025/05/12 12:00,21454,21477,21424,21473,1656
2025/05/12 13:00,21471,21495,21465,21485,1058
2025/05/12 17:45,21421,21520,21407,21444,24004
2025/05/12 18:45,21442,21485,21326,21333,13914
