datetime,open,high,low,close,volume
2025/02/14 11:00,23175,23346,23170,23303,12329
2025/02/16 16:45,23300,23538,23270,23512,38711
2025/02/16 20:45,23513,23537,23481,23508,5322
2025/02/16 23:00,23524,23555,23465,23521,10426
2025/02/17 03:00,23521,23542,23512,23519,4250
2025/02/17 07:00,23520,23531,23497,23521,2696
2025/02/17 11:00,23522,23525,23501,23522,791
2025/02/17 16:45,23572,23598,23468,23597,23098
2025/02/17 20:45,23598,23663,23593,23650,6818
2025/02/17 23:00,23661,23700,23638,23660,4084
2025/02/18 03:00,23661,23682,23609,23627,3988
2025/02/18 07:00,23627,23628,23537,23545,5808
2025/02/18 11:00,23545,23595,23527,23590,747
2025/02/18 16:45,23581,23693,23573,23595,16852
2025/02/18 20:45,23594,23620,23572,23608,4904
2025/02/18 23:00,23621,23669,23606,23619,10992
2025/02/19 03:00,23619,23632,23550,23550,15058
2025/02/19 07:00,23551,23595,23523,23552,14966
2025/02/19 11:00,23558,23599,23551,23579,2140
2025/02/19 16:45,23520,23563,23374,23553,58647
2025/02/19 20:45,23553,23555,23508,23533,5675
2025/02/19 23:00,23538,23632,23521,23624,14669
2025/02/20 03:00,23625,23640,23520,23522,19166
2025/02/20 07:00,23522,23549,23470,23519,21338
2025/02/20 11:00,23516,23546,23510,23539,1656
2025/02/20 16:45,23535,23732,23475,23704,48441
2025/02/20 20:45,23703,23760,23703,23750,7728
2025/02/20 23:00,23765,23780,23709,23731,12348
2025/02/21 03:00,23731,23765,23705,23720,10710
2025/02/21 07:00,23721,23748,23508,23515,31848
2025/02/21 11:00,23515,23527,23422,23487,11161
2025/02/23 16:45,23539,23563,23445,23525,43372
2025/02/23 20:45,23527,23559,23510,23552,5344
2025/02/23 23:00,23548,23592,23487,23513,14195
2025/02/24 03:00,23516,23530,23377,23378,20680
2025/02/24 07:00,23378,23400,23265,23348,36234
2025/02/24 11:00,23348,23372,23275,23275,4512
2025/02/24 16:45,23215,23344,23140,23270,50204
2025/02/24 20:45,23269,23302,23246,23295,5716
2025/02/24 23:00,23255,23284,23150,23155,19214
2025/02/25 03:00,23156,23342,23153,23240,28052
2025/02/25 07:00,23238,23238,23050,23148,38451
2025/02/25 11:00,23147,23183,23102,23132,3174
2025/02/25 16:45,23148,23343,23105,23323,42789
2025/02/25 20:45,23322,23419,23322,23419,12749
2025/02/25 23:00,23428,23485,23405,23464,15538
2025/02/26 03:00,23464,23507,23368,23500,28658
2025/02/26 07:00,23500,23588,23351,23373,30143
2025/02/26 11:00,23373,23450,23325,23420,8435
2025/02/26 16:45,23390,23433,23136,23164,58923
2025/02/26 20:45,23164,23200,23126,23190,10753
2025/02/26 23:00,23196,23237,23147,23228,15360
2025/02/27 03:00,23229,23308,22971,22973,42661
2025/02/27 07:00,22972,23057,22894,22964,37077
2025/02/27 11:00,22968,22971,22620,22620,16922
2025/03/02 16:45,22653,22795,22613,22726,56485
2025/03/02 20:45,22727,22748,22693,22723,6447
2025/03/02 23:00,22727,22735,22564,22721,23577
2025/03/03 03:00,22720,22758,22468,22508,35299
2025/03/03 07:00,22503,22644,22364,22401,45318
2025/03/03 11:00,22400,22488,22108,22186,16600
2025/03/03 16:45,22249,22668,22193,22596,63872
2025/03/03 20:45,22600,22645,22546,22580,9267
2025/03/03 23:00,22588,22615,22455,22504,22391
2025/03/04 03:00,22507,22680,22379,22488,47895
2025/03/04 07:00,22488,22659,22340,22650,44513
2025/03/04 11:00,22651,22826,22526,22561,13985
2025/03/04 16:45,22643,22924,22639,22904,62361
2025/03/04 20:45,22905,22925,22856,22895,6594
2025/03/04 23:00,22899,22961,22853,22932,16969
2025/03/05 03:00,22933,22942,22720,22743,40537
2025/03/05 07:00,22744,22950,22732,22949,39911
2025/03/05 11:00,22949,23025,22934,23015,9475
2025/03/05 16:45,23000,23015,22706,22802,52423
2025/03/05 20:45,22803,22815,22732,22762,7183
2025/03/05 23:00,22765,22807,22562,22571,30597
2025/03/06 03:00,22570,22647,22485,22602,34619
2025/03/06 07:00,22601,22710,22451,22520,40194
2025/03/06 11:00,22522,22533,22409,22437,8372
2025/03/06 16:45,22488,22684,22482,22551,47116
2025/03/06 20:45,22553,22566,22509,22523,6737
2025/03/06 23:00,22467,22608,22430,22573,19260
2025/03/07 03:00,22574,22629,22397,22571,49529
